Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temp,Latitude,Longitude
26/09/2024 16:31:49,0.25,0.5,-9.48,-0.07,0.06,0.04,38.02,29.863625,77.90171
26/09/2024 16:32:04,-0.69,1,-10.48,-0.06,0.03,0.03,38.39,29.863625,77.90171
26/09/2024 16:32:39,26.13,-110.32,64.86,27.5,-0.48,0.27,35.21,29.863625,77.90171
26/09/2024 16:32:54,5.87,-4.36,5.18,-1.31,-1.59,0.02,39.42,29.863625,77.90171
26/09/2024 16:33:09,8.47,-3.88,4.84,-0.03,-0.1,0.04,38.17,29.863625,77.90171
26/09/2024 16:33:26,8.47,-3.81,4.88,-0.01,-0.07,0.04,37.19,29.863625,77.90171
26/09/2024 16:33:41,8.45,-3.89,4.99,-0.02,-0.09,0.03,36.34,29.863625,77.90171
26/09/2024 16:34:12,8.5,-3.81,4.89,-0.02,-0.09,0.04,35.2,29.863625,77.90171
26/09/2024 16:34:27,8.49,-3.87,4.89,-0.01,-0.08,0.04,34.77,29.863625,77.90171
26/09/2024 16:34:41,8.53,-3.83,4.8,-0.02,-0.08,0.04,34.42,29.863625,77.90171
26/09/2024 16:34:57,8.49,-3.85,4.89,-0.01,-0.06,0.04,34.14,29.863625,77.90171
26/09/2024 16:35:13,8.5,-3.85,4.87,-0.01,-0.07,0.04,33.91,29.863625,77.90171
26/09/2024 16:35:30,8.5,-3.85,4.87,-0.02,-0.08,0.04,33.76,29.863625,77.90171
26/09/2024 16:35:45,8.47,-3.86,4.87,-0.02,-0.08,0.04,33.6,29.863625,77.90171
26/09/2024 16:36:01,8.44,-3.84,4.92,-0.01,-0.07,0.04,33.52,29.863625,77.90171
26/09/2024 16:36:16,8.5,-3.82,4.94,-0.03,-0.09,0.04,33.39,29.863625,77.90171
26/09/2024 16:36:31,8.5,-3.85,4.84,0,-0.07,0.04,33.36,29.863625,77.90171
26/09/2024 16:36:48,8.53,-3.84,4.75,-0.01,-0.07,0.04,33.29,29.863625,77.90171
26/09/2024 16:37:03,8.49,-3.8,4.97,-0.01,-0.07,0.04,33.24,29.863625,77.90171
26/09/2024 16:37:19,8.51,-3.84,4.81,-0.01,-0.07,0.04,33.19,29.863625,77.90171
26/09/2024 16:37:35,8.48,-3.86,4.9,-0.02,-0.09,0.04,33.18,29.863625,77.90171
26/09/2024 16:37:50,8.49,-3.85,4.91,-0.02,-0.08,0.04,33.15,29.863625,77.90171
26/09/2024 16:38:06,8.52,-3.87,4.84,-0.02,-0.08,0.04,33.05,29.863625,77.90171
26/09/2024 16:38:20,8.49,-3.84,4.9,-0.01,-0.07,0.04,33,29.863625,77.90171
26/09/2024 16:38:35,8.48,-3.87,4.91,-0.01,-0.07,0.04,32.94,29.863625,77.90171
26/09/2024 16:38:50,8.45,-3.88,4.91,-0.01,-0.07,0.04,32.95,29.863625,77.90171
26/09/2024 16:39:05,8.48,-3.83,4.85,-0.01,-0.07,0.04,32.9,29.863625,77.90171
26/09/2024 16:39:22,8.47,-3.85,4.84,-0.01,-0.07,0.04,32.89,29.863625,77.90171
26/09/2024 16:39:37,8.53,-3.85,4.81,-0.02,-0.08,0.04,32.92,29.863625,77.90171
26/09/2024 16:39:52,8.54,-3.8,4.81,-0.01,-0.08,0.04,32.97,29.863625,77.90171
26/09/2024 16:40:08,8.5,-3.85,4.88,-0.02,-0.09,0.04,32.95,29.863625,77.90171
26/09/2024 16:40:33,8.56,-3.84,4.83,-0.01,-0.08,0.04,32.97,29.863625,77.90171
26/09/2024 16:40:49,8.43,-3.9,4.91,-0.01,-0.07,0.03,32.96,29.863625,77.90171
26/09/2024 16:41:04,8.51,-3.87,4.84,-0.01,-0.07,0.04,32.94,29.863625,77.90171
26/09/2024 16:41:18,8.49,-3.88,4.86,-0.02,-0.08,0.04,32.96,29.863625,77.90171
26/09/2024 16:41:51,8.47,-3.84,4.92,-0.01,-0.07,0.04,32.94,29.863594,77.901658
26/09/2024 16:42:07,8.49,-3.88,4.87,-0.01,-0.07,0.04,32.97,29.863594,77.901658
26/09/2024 16:42:22,8.49,-3.89,4.85,-0.02,-0.08,0.04,32.98,29.863594,77.901658
26/09/2024 16:42:38,8.5,-3.83,4.87,-0.01,-0.07,0.04,33.01,29.863594,77.901658
26/09/2024 16:42:54,8.58,-3.85,4.76,-0.02,-0.09,0.04,33.03,29.863594,77.901658
26/09/2024 16:43:10,8.56,-3.88,4.81,-0.02,-0.08,0.04,33.04,29.863594,77.901658
26/09/2024 16:43:41,8.51,-3.82,4.84,-0.01,-0.07,0.04,33.01,29.863594,77.901658
26/09/2024 16:43:56,8.53,-3.92,4.8,-0.01,-0.08,0.04,33.02,29.863594,77.901658
26/09/2024 16:44:11,8.48,-3.9,4.88,-0.02,-0.08,0.04,33.01,29.863594,77.901658
26/09/2024 16:44:26,8.49,-3.85,4.97,-0.01,-0.07,0.04,33.04,29.863594,77.901658
26/09/2024 16:44:41,8.56,-3.84,4.79,-0.02,-0.08,0.04,33.04,29.863594,77.901658
26/09/2024 16:44:56,8.49,-3.85,4.86,-0.01,-0.07,0.04,33.04,29.863594,77.901658
26/09/2024 16:45:11,8.56,-3.85,4.79,-0.01,-0.07,0.04,33.03,29.863594,77.901658
26/09/2024 16:45:26,8.51,-3.89,4.87,-0.02,-0.08,0.03,33.06,29.863594,77.901658
26/09/2024 16:45:41,8.51,-3.85,4.83,-0.02,-0.08,0.04,33.07,29.863594,77.901658
26/09/2024 16:45:56,8.52,-3.84,4.82,-0.02,-0.08,0.04,33.09,29.863594,77.901658
26/09/2024 16:46:10,8.47,-3.85,4.87,-0.01,-0.07,0.04,33.09,29.863594,77.901658
26/09/2024 16:46:27,6.53,-5.43,6.12,-0.02,-0.08,0.04,33.11,29.863594,77.901658
26/09/2024 16:46:42,7.04,-6.54,5.8,-0.04,-0.36,0.03,33.09,29.863594,77.901658
26/09/2024 16:47:14,7.38,-5.66,4.75,-0.02,-0.08,0.04,33.06,29.863593,77.901659
26/09/2024 16:47:28,7.4,-5.67,4.79,-0.01,-0.08,0.04,33.11,29.863593,77.901659
26/09/2024 16:47:43,7.36,-5.68,4.81,-0.01,-0.08,0.04,33.11,29.863593,77.901659
26/09/2024 16:47:57,7.39,-5.69,4.72,-0.01,-0.07,0.04,33.1,29.863593,77.901659
26/09/2024 16:48:12,7.42,-5.65,4.67,-0.02,-0.08,0.04,33.11,29.863593,77.901659
26/09/2024 16:48:26,7.39,-5.65,4.74,-0.02,-0.08,0.04,33.11,29.863593,77.901659
26/09/2024 16:48:41,7.4,-5.67,4.68,-0.02,-0.07,0.04,33.14,29.863593,77.901659
26/09/2024 16:48:56,7.45,-5.7,4.67,-0.01,-0.07,0.04,33.14,29.863593,77.901659
26/09/2024 16:49:10,7.38,-5.66,4.8,-0.02,-0.08,0.04,33.12,29.863593,77.901659
26/09/2024 16:49:25,7.31,-5.69,4.86,-0.01,-0.07,0.04,33.11,29.863593,77.901659
26/09/2024 16:49:40,7.43,-5.66,4.71,-0.01,-0.07,0.04,33.14,29.863593,77.901659
26/09/2024 16:49:54,7.4,-5.64,4.78,-0.02,-0.07,0.04,33.08,29.863593,77.901659
26/09/2024 16:50:07,7.42,-5.64,4.76,-0.01,-0.07,0.04,33.08,29.863593,77.901659
26/09/2024 16:50:21,7.39,-5.68,4.72,-0.01,-0.07,0.04,33.07,29.863593,77.901659
26/09/2024 16:50:35,7.41,-5.61,4.7,-0.01,-0.08,0.04,33.06,29.863593,77.901659
26/09/2024 16:50:49,7.38,-5.69,4.82,-0.02,-0.07,0.04,33.07,29.863593,77.901659
26/09/2024 16:51:03,7.39,-5.72,4.7,-0.02,-0.08,0.04,33.05,29.863593,77.901659
26/09/2024 16:51:17,7.41,-5.61,4.69,-0.02,-0.08,0.04,33.03,29.863593,77.901659
26/09/2024 16:51:31,7.41,-5.68,4.79,-0.02,-0.09,0.04,33.03,29.863593,77.901659
26/09/2024 16:51:45,7.37,-5.67,4.73,-0.01,-0.08,0.04,33.04,29.863593,77.901659
26/09/2024 16:51:59,7.33,-5.68,4.85,-0.01,-0.07,0.04,33.01,29.863593,77.901659
26/09/2024 16:52:13,7.36,-5.7,4.75,-0.02,-0.07,0.04,33.01,29.863593,77.901659
26/09/2024 16:52:27,7.39,-5.65,4.79,-0.02,-0.07,0.04,33.01,29.863593,77.901659
26/09/2024 16:52:42,7.33,-5.73,4.78,-0.01,-0.08,0.04,33.02,29.863593,77.901659
